Offer Title,Description,Image,Link,Coupon Code,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,HDFC Diners Club Privilege Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,HDFC H.O.G. Diners Club Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,HDFC Millennia Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,HDFC Moneyback Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,HDFC Pixel Go Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,HDFC Pixel Go Rupay Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,HDFC Pixel Play Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,HDFC Regalia Gold Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,HDFC Swiggy Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,IRCTC HDFC Bank Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,IndianOil HDFC Bank RuPay Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Indianoil HDFC Bank Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,InterMiles HDFC Bank Signature Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Intermiles HDFC Bank Diners Club Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Intermiles HDFC Bank Platinum Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Marriott Bonvoy HDFC Bank Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Paytm HDFC Bank Business Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Paytm HDFC Bank Select Business Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Shoppers Stop Black HDFC Bank Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Shoppers Stop HDFC Bank Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Tata Neu Infinity HDFC Bank Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Tata Neu Infinity HDFC Bank RuPay Credit Card,,,,
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Tata Neu Plus HDFC Bank Credit Card,,,,
