Offer Image,Offer Title,Offer Description,Coupon Code,Offer Link,Eligible Credit Cards
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Eterna Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Indian Navy Varunah Premium Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,CMA One Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Bank of Baroda ETERNA Credit card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,ICSI Diamond Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Bank of Baroda EASY Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,ICAI Exclusive Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Assam Rifles The Sentinel Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Indian Army Yoddha Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,HPCL BoB ENERGIE
