Serial Number,Eligible Credit Cards,Credit Card Image,Hotel Benefit
17,Simplyclick Advantage SBI Card,https://static.wixstatic.com/media/f836e8_d2593645c32a4dd3ab935b4856fca7e0~mv2.webp,"1,500 from Yatra; Milestone Benefit: Users will get a gift voucher from Yatra"
18,Aditya Birla SBI Card,https://static.wixstatic.com/media/f836e8_3b9c7c16a6994c04b472728ac5fe2283~mv2.webp,Reward System: 10 point on spend of every INR 100 on Apollo 24x7/BookMyShow/ Cleartrip/ Dominos/ Myntra/ Netmeds/ Swiggy/ Yatra
19,6E Rewards XL IndiGo HDFC Bank Credit Card,https://static.wixstatic.com/media/200895_31f14758690d43a6a1785306a4813a45~mv2.png,Effective dining/entertainment/hotel cashback rate: 1
20,UCO Bank SBI Card Prime,https://static.wixstatic.com/media/2a565f_bf006c87665142f0b0da945afd1aa20f~mv2.webp,Accor hotel vouchers worth Rs
21,Tata Card Select,https://static.wixstatic.com/media/2a565f_047ab264ceee46d0850d6f027f64e56b~mv2.webp,"Welcome Benefit: Users will get a voucher worth INR 3,000 from &nbsp;one of the following brands: Bata/Hush Puppies, Pantaloons,&nbsp;Aditya Birla Fashion, Shoppers Stop and Yatra; Gift voucher worth INR 7,000 from Yatra"
22,HSBC TravelOne Credit Card,https://static.wixstatic.com/media/200895_b88de8db852c4c79816b0399d0386ec3~mv2.png,"3,000 from any of the following brands: Yatra, Hush Puppies / Bata, Aditya Birla Fashion,and &nbsp;Westside"
23,ICICI Bank Emeralde Credit Card,https://static.wixstatic.com/media/2a565f_4977b5cc27504d9a97abcb0d446c4a97~mv2.webp,"Welcome benefit:  Users must download and log on to the HSBC India Mobile Banking app and spend INR10,000 within the first 30 days of openingtheir credit card account to get INR1,000 cashback, the Postcard Hotel voucher worth INR 3,000 and 3 months EazyDiner prime membership; Cardholders will save 15% on domestic and international holiday Bookings at Yatra, EaseMyTrip, PayTM Travel and ClearTrip"
24,Tata Platinum Card Select,https://static.wixstatic.com/media/f836e8_610fe482a1854fd989b49fab8e45e3ca~mv2.webp,"Travel perks:  Benefit from low mark-up fees on foreign currency transactions, reduced APR on ATM cash withdrawals abroad, complimentary travel insurance, and airport transfers (on specific spends), and no cancellation charges on domestic travel and hotel bookings"
25,Simplyclick SBI Card,https://static.wixstatic.com/media/f836e8_150b5ac8179a4e2fa56b34b949b3df68~mv2.webp,"Welcome Benefit: Users will get a gift voucher worth INR 3,000 from any of the following brands: Yatra, Hush Puppies / Bata, Aditya Birla Fashion, and Westside; Milestone Benefits: Users will get gift vouchers worth INR 3,000 from any of the following brands: Yatra, Hush Puppies / Bata, Westside,&nbsp;Aditya Birla Retail"
26,IndusInd Intermiles Odyssey Visa Credit Card ,https://static.wixstatic.com/media/257766_4e48da28b5414644a063f107de2f80d3~mv2.jpg,Reward System: Users will get 10 points on spending every INR 100 on Apollo 24x7/BookMyShow/ Cleartrip/ Dominos/ Myntra/ Netmeds/ Swiggy/ Yatra
27,IndusInd Celesta American Express Credit Card,https://static.wixstatic.com/media/257766_dfbdab64de6a46b89ed1cdb923a00bb1~mv2.jpg,Hotel discount voucher worth INR 2500 on booking hotels
28,Ixigo AU Travel Credit Card,https://static.wixstatic.com/media/f836e8_5aed859a4f92417aba2cdb619de131ca~mv2.webp,"Users will get discounts at leading restaurants, hotel properties, retail outlets and more whether you are in India or abroad (the restaurants and hotel offers are dynamic in nature and keep changing)"
29,6E Rewards Indigo HDFC Bank Credit Card,https://static.wixstatic.com/media/200895_31f14758690d43a6a1785306a4813a45~mv2.png,"1,000 worth of Ixigo money vouchers on making their first transaction within the first 30 days of card issuance; Reward Points:  Users will earn 20 reward points for every ?200 spent on Train bookings with ixigo"
30,IndusInd Eazydiner Credit Card,https://static.wixstatic.com/media/2a565f_cee9b198096f441e95ef2459e410ec02~mv2.webp,Accor hotel vouchers worth Rs
31,Karnataka Bank SBI Card Prime,https://static.wixstatic.com/media/2a565f_174b7bc8b4454198865da255b852ea0e~mv2.webp,"PostCard hotel voucher worth INR 5,000"
32,City Union Bank SBI Card Prime,https://static.wixstatic.com/media/f836e8_81e6e605a4f8468fa2bec9a45020c79e~mv2.webp,"Welcome Benefit : Users will get a voucher worth INR 3,000 from &nbsp;one of the following brands: Bata/Hush Puppies, Pantaloons,&nbsp;Aditya Birla Fashion, Shoppers Stop and Yatra; Gift voucher worth INR 7,000 from Yatra"
33,SBI Card Elite,https://static.wixstatic.com/media/f836e8_bbc6260e32164f14b72e74fe3cf2756b~mv2.webp,"Welcome Benefit : Users will get a voucher worth INR 3,000 from &nbsp;one of the following brands: Bata/Hush Puppies, Pantaloons,&nbsp;Aditya Birla Fashion, Shoppers Stop and Yatra; Gift voucher worth INR 7,000 from Yatra"
34,PNB EMT Rupay Platinum Credit Card,https://static.wixstatic.com/media/200895_ba0507fb06974c77a988e7be3a2e9401~mv2.jpg,"5,000 which can be redeemed for various brands like Yatra, Hush Puppies/Bata, Pantaloons,&nbsp;Aditya Birla Fashion, and Shoppers Stop"
35,Karur Vysya Bank SBI Platinum Credit Card,https://static.wixstatic.com/media/f836e8_d61f643302bd4cf2b776e1539da50cc4~mv2.webp,"5,000 on domestic hotel bookings; 10,000 on international hotel bookings"
36,UCO Bank SBI Card Prime,https://static.wixstatic.com/media/2a565f_bf006c87665142f0b0da945afd1aa20f~mv2.webp,"Welcome Benefit:  Users will get vouchers worth INR 3,000 from any of the following brands: Bata/Hush Puppies, Aditya Birla Fashion, Westside, Shoppers Stop and Yatra"
37,Intermiles Amex Voyage Credit Card,https://static.wixstatic.com/media/257766_ad98660b54704119b11f22cc79793131~mv2.png,"3,000 from any of the following brands: Bata/Hush Puppies, Aditya Birla Fashion, Pantaloons, Shoppers Stop and Yatra; 7,000 from Yatra"
